id,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,bioma,frp
d83c2dd8-d113-3ec2-9be7-1cdbbd41303a,-9.488684,-51.500988,2022-09-01 01:20:34,NOAA-18D,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,
a2e04670-bb02-3829-a2b7-748fba959dfc,-9.490747,-51.515862,2022-09-01 01:20:34,NOAA-18D,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,
5f9d2693-8509-3762-81d9-1ffb360fa63c,-5.266089,-50.923878,2022-09-01 01:21:42,NOAA-18D,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,
22f47f02-4c63-3908-bb94-bfd6c6cceb17,-7.05389,-52.22334,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,9.5
07ac46a3-6401-36e0-807b-83784822b926,-5.22987,-50.79867,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,16.5
6818cb51-99d5-3988-ba33-7902e541db82,-5.23125,-50.80866,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,6.3
15277316-02fe-3f55-9716-fe04d1c6bb7f,-5.27069,-50.88464,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,5.2
57c8f78f-f307-39f0-aeb1-3445e944d509,-5.27209,-50.89471,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,7.9
dd9c98fe-7aa9-39bc-90bf-da044dbd7269,-5.28016,-50.88336,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,6
4cac4be6-96fa-3062-8d8e-935c7a052021,-5.28157,-50.89342,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,8.8
832aa480-0954-39dc-a7c0-4913c015be0b,-5.51342,-50.99733,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,5.6
21dca10b-605a-3741-b076-21f930b08c81,-6.05429,-51.82471,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,9.9
4264fb99-6e59-3a25-b70e-d438091449c9,-6.12482,-52.73333,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,8.9
990a0d2d-557a-33fd-a35a-da7102aa0576,-6.63889,-52.46607,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,5.8
ef84c71d-9b19-3816-8b7b-82fc574fc484,-6.82739,-52.859,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,8.3
60e9d84c-b96e-3616-8433-5c4c979c5054,-9.45669,-51.60427,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,7.2
61522b02-e8b6-3288-a7b9-745709658d77,-9.45836,-51.61707,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,7.6
bba75813-f3c9-32da-b994-7e8f1282195b,-9.50744,-51.45343,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,34.3
ee226d37-abf7-36b6-9f5c-87a6f353cc7f,-9.50906,-51.46597,2022-09-01 01:34:00,TERRA_M-M,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,26.6
932b69b6-bd54-369d-9776-0ca5239d40dc,-5.51378,-50.99274,2022-09-01 04:06:00,NOAA-20,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,0.8
756744d5-8372-38ab-a1dc-da9a0d965a95,-5.50828,-50.99162,2022-09-01 04:06:00,NOAA-20,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,0.8
7eacabc5-6f01-34ab-bded-7bae7cd34a79,-5.50762,-50.99539,2022-09-01 04:06:00,NOAA-20,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,0.8
c672e9f4-5123-3c47-8cda-45755661bad3,-5.50697,-50.99908,2022-09-01 04:06:00,NOAA-20,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,0.7
dfbfb22a-210e-3edb-b9b4-2d62a456bccf,-5.50278,-50.99052,2022-09-01 04:06:00,NOAA-20,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,0.6
2b9c16f9-aaae-33db-9c49-0c08323db2eb,-5.50211,-50.99429,2022-09-01 04:06:00,NOAA-20,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,0.6
49de304e-f55d-3ae0-abc7-1ef7ce0e80db,-5.28317,-50.88704,2022-09-01 04:06:00,NOAA-20,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,0.8
f49810d7-3484-3bbb-81cb-e200aef38285,-5.28296,-50.88638,2022-09-01 04:06:00,NOAA-20,SÃO FÉLIX DO XINGU,PARÁ,Brasil,Amazônia,1.2
